epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
120,90.1792,0.77239,0.90677,1.10689,0.47474,0.75,0.77625,0.44327,1.39359,1.51849,1.73642,0.00117603,0.00117603,0.00117603
121,90.8557,0.70009,0.78675,0.98055,0.47474,0.75,0.77625,0.44327,1.39359,1.51849,1.73642,0.0011719,0.0011719,0.0011719
122,91.5796,0.5728,0.73283,0.99367,0.36444,0.5,0.65646,0.40687,1.30685,1.53876,1.24909,0.00116778,0.00116778,0.00116778
123,92.2518,0.71227,0.87254,1.03944,0.36444,0.5,0.65646,0.40687,1.30685,1.53876,1.24909,0.00116365,0.00116365,0.00116365
124,92.9556,0.8395,0.81274,0.99489,0.4296,1,0.76167,0.45847,1.48312,1.56239,1.3679,0.00115952,0.00115952,0.00115952
125,93.6946,0.71184,0.77959,0.9877,0.4296,1,0.76167,0.45847,1.48312,1.56239,1.3679,0.0011554,0.0011554,0.0011554
126,94.3827,0.73198,0.71089,0.98662,0.651,0.96732,0.87,0.62139,1.4902,1.49464,1.42682,0.00115127,0.00115127,0.00115127
127,95.0619,0.66602,0.76841,0.97437,0.651,0.96732,0.87,0.62139,1.4902,1.49464,1.42682,0.00114715,0.00114715,0.00114715
128,95.8483,0.74409,0.90313,1.03581,0.79593,0.94745,0.91167,0.54718,1.25381,1.44153,1.25062,0.00114302,0.00114302,0.00114302
129,96.5744,0.58121,0.66635,0.92452,0.79593,0.94745,0.91167,0.54718,1.25381,1.44153,1.25062,0.00113889,0.00113889,0.00113889
130,97.3173,0.73858,0.79061,0.96063,0.95324,0.73585,0.91167,0.53401,1.18108,1.39861,1.26867,0.00113477,0.00113477,0.00113477
131,97.9833,0.62005,0.63361,1.01581,0.95324,0.73585,0.91167,0.53401,1.18108,1.39861,1.26867,0.00113064,0.00113064,0.00113064
132,98.6837,0.67113,0.79308,0.98622,0.69656,0.75,0.82833,0.47856,1.01545,1.58852,1.18739,0.00112652,0.00112652,0.00112652
133,99.3555,0.65161,0.66448,1.01271,0.69656,0.75,0.82833,0.47856,1.01545,1.58852,1.18739,0.00112239,0.00112239,0.00112239
134,100.049,0.59491,0.63786,0.96724,0.96401,0.5,0.845,0.42405,1.21946,1.7253,1.34386,0.00111827,0.00111827,0.00111827
135,100.712,0.77531,0.79832,1.03271,0.96401,0.5,0.845,0.42405,1.21946,1.7253,1.34386,0.00111414,0.00111414,0.00111414
136,101.47,0.8053,0.89823,1.05018,0.89483,0.47415,0.82,0.34533,1.294,2.05442,1.53632,0.00111001,0.00111001,0.00111001
137,102.125,0.7055,0.77689,1.02238,0.89483,0.47415,0.82,0.34533,1.294,2.05442,1.53632,0.00110589,0.00110589,0.00110589
138,102.816,0.6054,0.68704,1.04916,1,0.36322,0.70458,0.32909,1.23563,2.19238,1.47463,0.00110176,0.00110176,0.00110176
139,103.486,0.71958,0.69171,0.99039,1,0.36322,0.70458,0.32909,1.23563,2.19238,1.47463,0.00109764,0.00109764,0.00109764
140,104.176,0.66553,0.75486,0.97962,0.97057,0.83971,0.92556,0.40551,1.07465,2.14088,1.30058,0.00109351,0.00109351,0.00109351
141,104.844,0.61413,0.81359,1.03812,0.97057,0.83971,0.92556,0.40551,1.07465,2.14088,1.30058,0.00108938,0.00108938,0.00108938
142,105.529,0.79562,0.85595,1.07606,0.97225,0.77379,0.995,0.46619,1.11584,2.05579,1.6222,0.00108526,0.00108526,0.00108526
143,106.194,0.70874,0.85873,1.00401,0.97225,0.77379,0.995,0.46619,1.11584,2.05579,1.6222,0.00108113,0.00108113,0.00108113
144,107.054,0.75138,0.79237,0.94859,0.9137,0.85862,0.94143,0.50303,1.11205,1.93102,1.70154,0.00107701,0.00107701,0.00107701
145,107.75,0.59296,0.71055,0.94538,0.9137,0.85862,0.94143,0.50303,1.11205,1.93102,1.70154,0.00107288,0.00107288,0.00107288
146,108.519,0.63913,0.69355,0.93443,0.89658,0.875,0.95333,0.53267,1.1956,1.68818,1.79239,0.00106876,0.00106876,0.00106876
147,109.211,0.76814,0.838,1.08948,0.89658,0.875,0.95333,0.53267,1.1956,1.68818,1.79239,0.00106463,0.00106463,0.00106463
148,109.919,0.58373,0.60113,0.94707,0.87687,0.85991,0.97,0.57227,1.25955,1.45796,1.93177,0.0010605,0.0010605,0.0010605
149,110.654,0.60383,0.69779,0.93967,0.87687,0.85991,0.97,0.57227,1.25955,1.45796,1.93177,0.00105638,0.00105638,0.00105638
150,111.525,0.70332,0.66095,0.9941,0.97133,0.86,0.87056,0.56326,1.46093,1.47658,2.28234,0.00105225,0.00105225,0.00105225
151,112.232,0.75412,0.82733,1.05057,0.97133,0.86,0.87056,0.56326,1.46093,1.47658,2.28234,0.00104813,0.00104813,0.00104813
152,113.034,0.84121,1.10743,1.01111,0.91063,0.875,0.87056,0.60492,1.676,1.47979,2.43123,0.001044,0.001044,0.001044
153,113.85,0.70381,0.81524,1.09393,0.91063,0.875,0.87056,0.60492,1.676,1.47979,2.43123,0.00103987,0.00103987,0.00103987
154,114.517,0.67025,0.7388,0.97333,0.92843,0.875,0.87056,0.63945,1.62266,1.3524,2.29721,0.00103575,0.00103575,0.00103575
155,115.167,0.7441,0.91536,1.04581,0.92843,0.875,0.87056,0.63945,1.62266,1.3524,2.29721,0.00103162,0.00103162,0.00103162
156,115.913,0.72182,0.78441,1.03302,0.95055,0.875,0.87221,0.64893,1.33507,1.17103,1.55219,0.0010275,0.0010275,0.0010275
157,116.705,0.86462,0.85214,1.10402,0.95055,0.875,0.87221,0.64893,1.33507,1.17103,1.55219,0.00102337,0.00102337,0.00102337
158,117.465,0.66507,0.75641,0.95506,0.84192,0.85446,0.86256,0.63799,1.09646,1.20141,1.21014,0.00101925,0.00101925,0.00101925
159,118.112,0.67444,0.74153,1.00853,0.84192,0.85446,0.86256,0.63799,1.09646,1.20141,1.21014,0.00101512,0.00101512,0.00101512
160,118.817,0.56851,0.67946,0.99604,0.72068,0.875,0.78667,0.60609,1.14355,1.24967,1.22195,0.00101099,0.00101099,0.00101099
161,119.58,0.63693,0.73846,0.99962,0.72068,0.875,0.78667,0.60609,1.14355,1.24967,1.22195,0.00100687,0.00100687,0.00100687
162,120.418,0.70076,0.74254,1.02949,0.69739,0.875,0.77794,0.58682,1.14456,1.31517,1.21307,0.00100274,0.00100274,0.00100274
163,121.13,0.5755,0.59955,0.89962,0.69739,0.875,0.77794,0.58682,1.14456,1.31517,1.21307,0.000998616,0.000998616,0.000998616
164,121.891,0.59071,0.72005,0.96218,0.57094,0.875,0.75,0.52147,1.14575,1.53024,1.14484,0.000994491,0.000994491,0.000994491
165,122.544,0.47845,0.62226,0.8918,0.57094,0.875,0.75,0.52147,1.14575,1.53024,1.14484,0.000990365,0.000990365,0.000990365
166,123.247,0.63397,0.80343,0.93142,0.61151,0.875,0.77249,0.55361,1.09368,1.52761,1.10755,0.000986239,0.000986239,0.000986239
167,123.936,0.54526,0.6886,1.01388,0.61151,0.875,0.77249,0.55361,1.09368,1.52761,1.10755,0.000982113,0.000982113,0.000982113
